date,home_team,score,away_team
30-04-2022,Aston Villa,2 -- 0,Norwich
08-05-2022,Norwich,0 -- 4,West Ham
11-05-2022,Leicester,3 -- 0,Norwich
15-05-2022,Wolves,1 -- 1,Norwich
22-05-2022,Norwich,0 -- 5,Tottenham
14-08-2021,Everton,3 -- 1,Southampton
22-08-2021,Southampton,1 -- 1,Man United
28-08-2021,Newcastle,2 -- 2,Southampton
11-09-2021,Southampton,0 -- 0,West Ham
18-09-2021,Man City,0 -- 0,Southampton
26-09-2021,Southampton,0 -- 1,Wolves
02-10-2021,Chelsea,3 -- 1,Southampton
16-10-2021,Southampton,1 -- 0,Leeds
23-10-2021,Southampton,2 -- 2,Burnley
30-10-2021,Watford,0 -- 1,Southampton
05-11-2021,Southampton,1 -- 0,Aston Villa
20-11-2021,Norwich,2 -- 1,Southampton
27-11-2021,Liverpool,4 -- 0,Southampton
01-12-2021,Southampton,2 -- 2,Leicester
04-12-2021,Southampton,1 -- 1,Brighton
11-12-2021,Arsenal,3 -- 0,Southampton
15-12-2021,Crystal Palace,2 -- 2,Southampton
26-12-2021,West Ham,2 -- 3,Southampton
28-12-2021,Southampton,1 -- 1,Tottenham
11-01-2022,Southampton,4 -- 1,Brentford
15-01-2022,Wolves,3 -- 1,Southampton
22-01-2022,Southampton,1 -- 1,Man City
09-02-2022,Tottenham,2 -- 3,Southampton
12-02-2022,Man United,1 -- 1,Southampton
19-02-2022,Southampton,2 -- 0,Everton
25-02-2022,Southampton,2 -- 0,Norwich
05-03-2022,Aston Villa,4 -- 0,Southampton
10-03-2022,Southampton,1 -- 2,Newcastle
13-03-2022,Southampton,1 -- 2,Watford
02-04-2022,Leeds,1 -- 1,Southampton
09-04-2022,Southampton,0 -- 6,Chelsea
16-04-2022,Southampton,1 -- 0,Arsenal
21-04-2022,Burnley,2 -- 0,Southampton
24-04-2022,Brighton,2 -- 2,Southampton
30-04-2022,Southampton,1 -- 2,Crystal Palace
07-05-2022,Brentford,3 -- 0,Southampton
17-05-2022,Southampton,1 -- 2,Liverpool
22-05-2022,Leicester,4 -- 1,Southampton
15-08-2021,Tottenham,1 -- 0,Man City
22-08-2021,Wolves,0 -- 1,Tottenham
29-08-2021,Tottenham,1 -- 0,Watford
11-09-2021,Crystal Palace,3 -- 0,Tottenham
19-09-2021,Tottenham,0 -- 3,Chelsea
26-09-2021,Arsenal,3 -- 1,Tottenham
03-10-2021,Tottenham,2 -- 1,Aston Villa
17-10-2021,Newcastle,2 -- 3,Tottenham
24-10-2021,West Ham,1 -- 0,Tottenham
30-10-2021,Tottenham,0 -- 3,Man United
07-11-2021,Everton,0 -- 0,Tottenham
21-11-2021,Tottenham,2 -- 1,Leeds
02-12-2021,Tottenham,2 -- 0,Brentford
05-12-2021,Tottenham,3 -- 0,Norwich
19-12-2021,Tottenham,2 -- 2,Liverpool
26-12-2021,Tottenham,3 -- 0,Crystal Palace
28-12-2021,Southampton,1 -- 1,Tottenham
01-01-2022,Watford,0 -- 1,Tottenham
19-01-2022,Leicester,2 -- 3,Tottenham
23-01-2022,Chelsea,2 -- 0,Tottenham
09-02-2022,Tottenham,2 -- 3,Southampton
13-02-2022,Tottenham,0 -- 2,Wolves
19-02-2022,Man City,2 -- 3,Tottenham
23-02-2022,Burnley,1 -- 0,Tottenham
26-02-2022,Leeds,0 -- 4,Tottenham
07-03-2022,Tottenham,5 -- 0,Everton
12-03-2022,Man United,3 -- 2,Tottenham
16-03-2022,Brighton,0 -- 2,Tottenham
20-03-2022,Tottenham,3 -- 1,West Ham
03-04-2022,Tottenham,5 -- 1,Newcastle
09-04-2022,Aston Villa,0 -- 4,Tottenham
16-04-2022,Tottenham,0 -- 1,Brighton
23-04-2022,Brentford,0 -- 0,Tottenham
01-05-2022,Tottenham,3 -- 1,Leicester
07-05-2022,Liverpool,1 -- 1,Tottenham
12-05-2022,Tottenham,3 -- 0,Arsenal
15-05-2022,Tottenham,1 -- 0,Burnley
22-05-2022,Norwich,0 -- 5,Tottenham
14-08-2021,Watford,3 -- 2,Aston Villa
21-08-2021,Brighton,2 -- 0,Watford
29-08-2021,Tottenham,1 -- 0,Watford
11-09-2021,Watford,0 -- 2,Wolves
18-09-2021,Norwich,1 -- 3,Watford
25-09-2021,Watford,1 -- 1,Newcastle
02-10-2021,Leeds,1 -- 0,Watford
16-10-2021,Watford,0 -- 5,Liverpool
23-10-2021,Everton,2 -- 5,Watford
30-10-2021,Watford,0 -- 1,Southampton
07-11-2021,Arsenal,1 -- 0,Watford
20-11-2021,Watford,4 -- 1,Man United
28-11-2021,Leicester,4 -- 2,Watford
01-12-2021,Watford,1 -- 2,Chelsea
04-12-2021,Watford,1 -- 3,Man City
10-12-2021,Brentford,2 -- 1,Watford
28-12-2021,Watford,1 -- 4,West Ham
01-01-2022,Watford,0 -- 1,Tottenham
15-01-2022,Newcastle,1 -- 1,Watford
21-01-2022,Watford,0 -- 3,Norwich
05-02-2022,Burnley,0 -- 0,Watford
08-02-2022,West Ham,1 -- 0,Watford
12-02-2022,Watford,0 -- 2,Brighton
19-02-2022,Aston Villa,0 -- 1,Watford
23-02-2022,Watford,1 -- 4,Crystal Palace
26-02-2022,Man United,0 -- 0,Watford
06-03-2022,Watford,2 -- 3,Arsenal
10-03-2022,Wolves,4 -- 0,Watford
13-03-2022,Southampton,1 -- 2,Watford
02-04-2022,Liverpool,2 -- 0,Watford
09-04-2022,Watford,0 -- 3,Leeds
16-04-2022,Watford,1 -- 2,Brentford
23-04-2022,Man City,5 -- 1,Watford
30-04-2022,Watford,1 -- 2,Burnley
07-05-2022,Crystal Palace,1 -- 0,Watford
11-05-2022,Watford,0 -- 0,Everton
15-05-2022,Watford,1 -- 5,Leicester
22-05-2022,Chelsea,2 -- 1,Watford
15-08-2021,Newcastle,2 -- 4,West Ham
23-08-2021,West Ham,4 -- 1,Leicester
28-08-2021,West Ham,2 -- 2,Crystal Palace
11-09-2021,Southampton,0 -- 0,West Ham
19-09-2021,West Ham,1 -- 2,Man United
25-09-2021,Leeds,1 -- 2,West Ham
03-10-2021,West Ham,1 -- 2,Brentford
17-10-2021,Everton,0 -- 1,West Ham
24-10-2021,West Ham,1 -- 0,Tottenham
31-10-2021,Aston Villa,1 -- 4,West Ham
07-11-2021,West Ham,3 -- 2,Liverpool
20-11-2021,Wolves,1 -- 0,West Ham
28-11-2021,Man City,2 -- 1,West Ham
01-12-2021,West Ham,1 -- 1,Brighton
04-12-2021,West Ham,3 -- 2,Chelsea
12-12-2021,Burnley,0 -- 0,West Ham
15-12-2021,Arsenal,2 -- 0,West Ham
26-12-2021,West Ham,2 -- 3,Southampton
28-12-2021,Watford,1 -- 4,West Ham
01-01-2022,Crystal Palace,2 -- 3,West Ham
12-01-2022,West Ham,2 -- 0,Norwich
16-01-2022,West Ham,2 -- 3,Leeds
22-01-2022,Man United,1 -- 0,West Ham
08-02-2022,West Ham,1 -- 0,Watford
13-02-2022,Leicester,2 -- 2,West Ham
19-02-2022,West Ham,1 -- 1,Newcastle
27-02-2022,West Ham,1 -- 0,Wolves
05-03-2022,Liverpool,1 -- 0,West Ham
13-03-2022,West Ham,2 -- 1,Aston Villa
20-03-2022,Tottenham,3 -- 1,West Ham
03-04-2022,West Ham,2 -- 1,Everton
10-04-2022,Brentford,2 -- 0,West Ham
17-04-2022,West Ham,1 -- 1,Burnley
24-04-2022,Chelsea,1 -- 0,West Ham
01-05-2022,West Ham,1 -- 2,Arsenal
08-05-2022,Norwich,0 -- 4,West Ham
15-05-2022,West Ham,2 -- 2,Man City
22-05-2022,Brighton,3 -- 1,West Ham
14-08-2021,Leicester,1 -- 0,Wolves
22-08-2021,Wolves,0 -- 1,Tottenham
29-08-2021,Wolves,0 -- 1,Man United
11-09-2021,Watford,0 -- 2,Wolves
18-09-2021,Wolves,0 -- 2,Brentford
26-09-2021,Southampton,0 -- 1,Wolves
02-10-2021,Wolves,2 -- 1,Newcastle
16-10-2021,Aston Villa,2 -- 3,Wolves
23-10-2021,Leeds,1 -- 1,Wolves
01-11-2021,Wolves,2 -- 1,Everton
06-11-2021,Crystal Palace,2 -- 0,Wolves
20-11-2021,Wolves,1 -- 0,West Ham
27-11-2021,Norwich,0 -- 0,Wolves
01-12-2021,Wolves,0 -- 0,Burnley
04-12-2021,Wolves,0 -- 1,Liverpool
11-12-2021,Man City,1 -- 0,Wolves
15-12-2021,Brighton,0 -- 1,Wolves
19-12-2021,Wolves,0 -- 0,Chelsea
03-01-2022,Man United,0 -- 1,Wolves
15-01-2022,Wolves,3 -- 1,Southampton
22-01-2022,Brentford,1 -- 2,Wolves
10-02-2022,Wolves,0 -- 1,Arsenal
13-02-2022,Tottenham,0 -- 2,Wolves
20-02-2022,Wolves,2 -- 1,Leicester
24-02-2022,Arsenal,2 -- 1,Wolves
27-02-2022,West Ham,1 -- 0,Wolves
05-03-2022,Wolves,0 -- 2,Crystal Palace
10-03-2022,Wolves,4 -- 0,Watford
13-03-2022,Everton,0 -- 1,Wolves
18-03-2022,Wolves,2 -- 3,Leeds
02-04-2022,Wolves,2 -- 1,Aston Villa
08-04-2022,Newcastle,1 -- 0,Wolves
24-04-2022,Burnley,1 -- 0,Wolves
30-04-2022,Wolves,0 -- 3,Brighton
07-05-2022,Chelsea,2 -- 2,Wolves
11-05-2022,Wolves,1 -- 5,Man City
15-05-2022,Wolves,1 -- 1,Norwich
22-05-2022,Liverpool,3 -- 1,Wolves
12-09-2020,Fulham,0 -- 3,Arsenal
19-09-2020,Arsenal,2 -- 1,West Ham
28-09-2020,Liverpool,3 -- 1,Arsenal
04-10-2020,Arsenal,2 -- 1,Sheffield United
17-10-2020,Man City,1 -- 0,Arsenal
25-10-2020,Arsenal,0 -- 1,Leicester
01-11-2020,Man United,0 -- 1,Arsenal
08-11-2020,Arsenal,0 -- 3,Aston Villa
22-11-2020,Leeds,0 -- 0,Arsenal
29-11-2020,Arsenal,1 -- 2,Wolves
06-12-2020,Tottenham,2 -- 0,Arsenal
13-12-2020,Arsenal,0 -- 1,Burnley
16-12-2020,Arsenal,1 -- 1,Southampton
19-12-2020,Everton,2 -- 1,Arsenal
26-12-2020,Arsenal,3 -- 1,Chelsea
29-12-2020,Brighton,0 -- 1,Arsenal
02-01-2021,West Brom,0 -- 4,Arsenal
14-01-2021,Arsenal,0 -- 0,Crystal Palace
18-01-2021,Arsenal,3 -- 0,Newcastle
26-01-2021,Southampton,1 -- 3,Arsenal
30-01-2021,Arsenal,0 -- 0,Man United
02-02-2021,Wolves,2 -- 1,Arsenal
06-02-2021,Aston Villa,1 -- 0,Arsenal
14-02-2021,Arsenal,4 -- 2,Leeds
21-02-2021,Arsenal,0 -- 1,Man City
28-02-2021,Leicester,1 -- 3,Arsenal
06-03-2021,Burnley,1 -- 1,Arsenal
14-03-2021,Arsenal,2 -- 1,Tottenham
21-03-2021,West Ham,3 -- 3,Arsenal
03-04-2021,Arsenal,0 -- 3,Liverpool
11-04-2021,Sheffield United,0 -- 3,Arsenal
18-04-2021,Arsenal,1 -- 1,Fulham
23-04-2021,Arsenal,0 -- 1,Everton
02-05-2021,Newcastle,0 -- 2,Arsenal
09-05-2021,Arsenal,3 -- 1,West Brom
12-05-2021,Chelsea,0 -- 1,Arsenal
19-05-2021,Crystal Palace,1 -- 3,Arsenal
23-05-2021,Arsenal,2 -- 0,Brighton
21-09-2020,Aston Villa,1 -- 0,Sheffield United
28-09-2020,Fulham,0 -- 3,Aston Villa
04-10-2020,Aston Villa,7 -- 2,Liverpool
18-10-2020,Leicester,0 -- 1,Aston Villa
23-10-2020,Aston Villa,0 -- 3,Leeds
01-11-2020,Aston Villa,3 -- 4,Southampton
08-11-2020,Arsenal,0 -- 3,Aston Villa
21-11-2020,Aston Villa,1 -- 2,Brighton
30-11-2020,West Ham,2 -- 1,Aston Villa
12-12-2020,Wolves,0 -- 1,Aston Villa
17-12-2020,Aston Villa,0 -- 0,Burnley
20-12-2020,West Brom,0 -- 3,Aston Villa
26-12-2020,Aston Villa,3 -- 0,Crystal Palace
28-12-2020,Chelsea,1 -- 1,Aston Villa
01-01-2021,Man United,2 -- 1,Aston Villa
20-01-2021,Man City,2 -- 0,Aston Villa
23-01-2021,Aston Villa,2 -- 0,Newcastle
27-01-2021,Burnley,3 -- 2,Aston Villa
30-01-2021,Southampton,0 -- 1,Aston Villa
03-02-2021,Aston Villa,1 -- 3,West Ham
06-02-2021,Aston Villa,1 -- 0,Arsenal
13-02-2021,Brighton,0 -- 0,Aston Villa
21-02-2021,Aston Villa,1 -- 2,Leicester
27-02-2021,Leeds,0 -- 1,Aston Villa
03-03-2021,Sheffield United,1 -- 0,Aston Villa
06-03-2021,Aston Villa,0 -- 0,Wolves
12-03-2021,Newcastle,1 -- 1,Aston Villa
21-03-2021,Aston Villa,0 -- 2,Tottenham
04-04-2021,Aston Villa,3 -- 1,Fulham
10-04-2021,Liverpool,2 -- 1,Aston Villa
21-04-2021,Aston Villa,1 -- 2,Man City
25-04-2021,Aston Villa,2 -- 2,West Brom
01-05-2021,Everton,1 -- 2,Aston Villa
09-05-2021,Aston Villa,1 -- 3,Man United
13-05-2021,Aston Villa,0 -- 0,Everton
16-05-2021,Crystal Palace,3 -- 2,Aston Villa
19-05-2021,Tottenham,1 -- 2,Aston Villa
23-05-2021,Aston Villa,2 -- 1,Chelsea
14-09-2020,Brighton,1 -- 3,Chelsea
20-09-2020,Newcastle,0 -- 3,Brighton
26-09-2020,Brighton,2 -- 3,Man United
03-10-2020,Everton,4 -- 2,Brighton
18-10-2020,Crystal Palace,1 -- 1,Brighton
26-10-2020,Brighton,1 -- 1,West Brom
01-11-2020,Tottenham,2 -- 1,Brighton
06-11-2020,Brighton,0 -- 0,Burnley
21-11-2020,Aston Villa,1 -- 2,Brighton
28-11-2020,Brighton,1 -- 1,Liverpool
07-12-2020,Brighton,1 -- 2,Southampton
13-12-2020,Leicester,3 -- 0,Brighton
16-12-2020,Fulham,0 -- 0,Brighton
20-12-2020,Brighton,1 -- 1,Sheffield United
27-12-2020,West Ham,2 -- 2,Brighton
29-12-2020,Brighton,0 -- 1,Arsenal
02-01-2021,Brighton,3 -- 3,Wolves
13-01-2021,Man City,1 -- 0,Brighton
16-01-2021,Leeds,0 -- 1,Brighton
27-01-2021,Brighton,0 -- 0,Fulham
31-01-2021,Brighton,1 -- 0,Tottenham
03-02-2021,Liverpool,0 -- 1,Brighton
06-02-2021,Burnley,1 -- 1,Brighton
13-02-2021,Brighton,0 -- 0,Aston Villa
22-02-2021,Brighton,1 -- 2,Crystal Palace
27-02-2021,West Brom,1 -- 0,Brighton
06-03-2021,Brighton,1 -- 2,Leicester
14-03-2021,Southampton,1 -- 2,Brighton
20-03-2021,Brighton,3 -- 0,Newcastle
04-04-2021,Man United,2 -- 1,Brighton
12-04-2021,Brighton,0 -- 0,Everton
20-04-2021,Chelsea,0 -- 0,Brighton
24-04-2021,Sheffield United,1 -- 0,Brighton
01-05-2021,Brighton,2 -- 0,Leeds
09-05-2021,Wolves,2 -- 1,Brighton
15-05-2021,Brighton,1 -- 1,West Ham
18-05-2021,Brighton,3 -- 2,Man City
23-05-2021,Arsenal,2 -- 0,Brighton
20-09-2020,Leicester,4 -- 2,Burnley
26-09-2020,Burnley,0 -- 1,Southampton
03-10-2020,Newcastle,3 -- 1,Burnley
19-10-2020,West Brom,0 -- 0,Burnley
26-10-2020,Burnley,0 -- 1,Tottenham
31-10-2020,Burnley,0 -- 3,Chelsea
06-11-2020,Brighton,0 -- 0,Burnley
23-11-2020,Burnley,1 -- 0,Crystal Palace
28-11-2020,Man City,5 -- 0,Burnley
05-12-2020,Burnley,1 -- 1,Everton
13-12-2020,Arsenal,0 -- 1,Burnley
17-12-2020,Aston Villa,0 -- 0,Burnley
21-12-2020,Burnley,2 -- 1,Wolves
27-12-2020,Leeds,1 -- 0,Burnley
29-12-2020,Burnley,1 -- 0,Sheffield United
12-01-2021,Burnley,0 -- 1,Man United
16-01-2021,West Ham,1 -- 0,Burnley
21-01-2021,Liverpool,0 -- 1,Burnley
27-01-2021,Burnley,3 -- 2,Aston Villa
31-01-2021,Chelsea,2 -- 0,Burnley
03-02-2021,Burnley,0 -- 2,Man City
06-02-2021,Burnley,1 -- 1,Brighton
13-02-2021,Crystal Palace,0 -- 3,Burnley
17-02-2021,Burnley,1 -- 1,Fulham
20-02-2021,Burnley,0 -- 0,West Brom
28-02-2021,Tottenham,4 -- 0,Burnley
03-03-2021,Burnley,1 -- 1,Leicester
06-03-2021,Burnley,1 -- 1,Arsenal
13-03-2021,Everton,1 -- 2,Burnley
04-04-2021,Southampton,3 -- 2,Burnley
11-04-2021,Burnley,1 -- 2,Newcastle
18-04-2021,Man United,3 -- 1,Burnley
25-04-2021,Wolves,0 -- 4,Burnley
03-05-2021,Burnley,1 -- 2,West Ham
10-05-2021,Fulham,0 -- 2,Burnley
15-05-2021,Burnley,0 -- 4,Leeds
19-05-2021,Burnley,0 -- 3,Liverpool
23-05-2021,Sheffield United,1 -- 0,Burnley
14-09-2020,Brighton,1 -- 3,Chelsea
20-09-2020,Chelsea,0 -- 2,Liverpool
26-09-2020,West Brom,3 -- 3,Chelsea
03-10-2020,Chelsea,4 -- 0,Crystal Palace
17-10-2020,Chelsea,3 -- 3,Southampton
24-10-2020,Man United,0 -- 0,Chelsea
31-10-2020,Burnley,0 -- 3,Chelsea
07-11-2020,Chelsea,4 -- 1,Sheffield United
21-11-2020,Newcastle,0 -- 2,Chelsea
29-11-2020,Chelsea,0 -- 0,Tottenham
05-12-2020,Chelsea,3 -- 1,Leeds
12-12-2020,Everton,1 -- 0,Chelsea
15-12-2020,Wolves,2 -- 1,Chelsea
21-12-2020,Chelsea,3 -- 0,West Ham
26-12-2020,Arsenal,3 -- 1,Chelsea
28-12-2020,Chelsea,1 -- 1,Aston Villa
03-01-2021,Chelsea,1 -- 3,Man City
16-01-2021,Fulham,0 -- 1,Chelsea
19-01-2021,Leicester,2 -- 0,Chelsea
27-01-2021,Chelsea,0 -- 0,Wolves
31-01-2021,Chelsea,2 -- 0,Burnley
04-02-2021,Tottenham,0 -- 1,Chelsea
07-02-2021,Sheffield United,1 -- 2,Chelsea
15-02-2021,Chelsea,2 -- 0,Newcastle
20-02-2021,Southampton,1 -- 1,Chelsea
28-02-2021,Chelsea,0 -- 0,Man United
04-03-2021,Liverpool,0 -- 1,Chelsea
08-03-2021,Chelsea,2 -- 0,Everton
13-03-2021,Leeds,0 -- 0,Chelsea
03-04-2021,Chelsea,2 -- 5,West Brom
10-04-2021,Crystal Palace,1 -- 4,Chelsea
20-04-2021,Chelsea,0 -- 0,Brighton
24-04-2021,West Ham,0 -- 1,Chelsea
01-05-2021,Chelsea,2 -- 0,Fulham
08-05-2021,Man City,1 -- 2,Chelsea
12-05-2021,Chelsea,0 -- 1,Arsenal
18-05-2021,Chelsea,2 -- 1,Leicester
23-05-2021,Aston Villa,2 -- 1,Chelsea
12-09-2020,Crystal Palace,1 -- 0,Southampton
19-09-2020,Man United,1 -- 3,Crystal Palace
26-09-2020,Crystal Palace,1 -- 2,Everton
03-10-2020,Chelsea,4 -- 0,Crystal Palace
18-10-2020,Crystal Palace,1 -- 1,Brighton
24-10-2020,Fulham,1 -- 2,Crystal Palace
30-10-2020,Wolves,2 -- 0,Crystal Palace
07-11-2020,Crystal Palace,4 -- 1,Leeds
23-11-2020,Burnley,1 -- 0,Crystal Palace
27-11-2020,Crystal Palace,0 -- 2,Newcastle
06-12-2020,West Brom,1 -- 5,Crystal Palace
13-12-2020,Crystal Palace,1 -- 1,Tottenham
16-12-2020,West Ham,1 -- 1,Crystal Palace
19-12-2020,Crystal Palace,0 -- 7,Liverpool
26-12-2020,Aston Villa,3 -- 0,Crystal Palace
28-12-2020,Crystal Palace,1 -- 1,Leicester
02-01-2021,Crystal Palace,2 -- 0,Sheffield United
14-01-2021,Arsenal,0 -- 0,Crystal Palace
17-01-2021,Man City,4 -- 0,Crystal Palace
26-01-2021,Crystal Palace,2 -- 3,West Ham
30-01-2021,Crystal Palace,1 -- 0,Wolves
02-02-2021,Newcastle,1 -- 2,Crystal Palace
08-02-2021,Leeds,2 -- 0,Crystal Palace
13-02-2021,Crystal Palace,0 -- 3,Burnley
22-02-2021,Brighton,1 -- 2,Crystal Palace
28-02-2021,Crystal Palace,0 -- 0,Fulham
03-03-2021,Crystal Palace,0 -- 0,Man United
07-03-2021,Tottenham,4 -- 1,Crystal Palace
13-03-2021,Crystal Palace,1 -- 0,West Brom
05-04-2021,Everton,1 -- 1,Crystal Palace
10-04-2021,Crystal Palace,1 -- 4,Chelsea
26-04-2021,Leicester,2 -- 1,Crystal Palace
01-05-2021,Crystal Palace,0 -- 2,Man City
08-05-2021,Sheffield United,0 -- 2,Crystal Palace
11-05-2021,Southampton,3 -- 1,Crystal Palace
16-05-2021,Crystal Palace,3 -- 2,Aston Villa
19-05-2021,Crystal Palace,1 -- 3,Arsenal
23-05-2021,Liverpool,2 -- 0,Crystal Palace
13-09-2020,Tottenham,0 -- 1,Everton
19-09-2020,Everton,5 -- 2,West Brom
26-09-2020,Crystal Palace,1 -- 2,Everton
03-10-2020,Everton,4 -- 2,Brighton
17-10-2020,Everton,2 -- 2,Liverpool
25-10-2020,Southampton,2 -- 0,Everton
01-11-2020,Newcastle,2 -- 1,Everton
07-11-2020,Everton,1 -- 3,Man United
22-11-2020,Fulham,2 -- 3,Everton
28-11-2020,Everton,0 -- 1,Leeds
05-12-2020,Burnley,1 -- 1,Everton
12-12-2020,Everton,1 -- 0,Chelsea
16-12-2020,Leicester,0 -- 2,Everton
19-12-2020,Everton,2 -- 1,Arsenal
26-12-2020,Sheffield United,0 -- 1,Everton
01-01-2021,Everton,0 -- 1,West Ham
12-01-2021,Wolves,1 -- 2,Everton
27-01-2021,Everton,1 -- 1,Leicester
30-01-2021,Everton,0 -- 2,Newcastle
03-02-2021,Leeds,1 -- 2,Everton
06-02-2021,Man United,3 -- 3,Everton
14-02-2021,Everton,0 -- 2,Fulham
17-02-2021,Everton,1 -- 3,Man City
20-02-2021,Liverpool,0 -- 2,Everton
01-03-2021,Everton,1 -- 0,Southampton
04-03-2021,West Brom,0 -- 1,Everton
08-03-2021,Chelsea,2 -- 0,Everton
13-03-2021,Everton,1 -- 2,Burnley
05-04-2021,Everton,1 -- 1,Crystal Palace
12-04-2021,Brighton,0 -- 0,Everton
16-04-2021,Everton,2 -- 2,Tottenham
23-04-2021,Arsenal,0 -- 1,Everton
01-05-2021,Everton,1 -- 2,Aston Villa
09-05-2021,West Ham,0 -- 1,Everton
13-05-2021,Aston Villa,0 -- 0,Everton
16-05-2021,Everton,0 -- 1,Sheffield United
19-05-2021,Everton,1 -- 0,Wolves
23-05-2021,Man City,5 -- 0,Everton
12-09-2020,Fulham,0 -- 3,Arsenal
19-09-2020,Leeds,4 -- 3,Fulham
28-09-2020,Fulham,0 -- 3,Aston Villa
04-10-2020,Wolves,1 -- 0,Fulham
18-10-2020,Sheffield United,1 -- 1,Fulham
24-10-2020,Fulham,1 -- 2,Crystal Palace
02-11-2020,Fulham,2 -- 0,West Brom
07-11-2020,West Ham,1 -- 0,Fulham
22-11-2020,Fulham,2 -- 3,Everton
30-11-2020,Leicester,1 -- 2,Fulham
05-12-2020,Man City,2 -- 0,Fulham
13-12-2020,Fulham,1 -- 1,Liverpool
16-12-2020,Fulham,0 -- 0,Brighton
19-12-2020,Newcastle,1 -- 1,Fulham
26-12-2020,Fulham,0 -- 0,Southampton
13-01-2021,Tottenham,1 -- 1,Fulham
16-01-2021,Fulham,0 -- 1,Chelsea
20-01-2021,Fulham,1 -- 2,Man United
27-01-2021,Brighton,0 -- 0,Fulham
30-01-2021,West Brom,2 -- 2,Fulham
03-02-2021,Fulham,0 -- 2,Leicester
06-02-2021,Fulham,0 -- 0,West Ham
14-02-2021,Everton,0 -- 2,Fulham
17-02-2021,Burnley,1 -- 1,Fulham
20-02-2021,Fulham,1 -- 0,Sheffield United
28-02-2021,Crystal Palace,0 -- 0,Fulham
04-03-2021,Fulham,0 -- 1,Tottenham
07-03-2021,Liverpool,0 -- 1,Fulham
13-03-2021,Fulham,0 -- 3,Man City
19-03-2021,Fulham,1 -- 2,Leeds
04-04-2021,Aston Villa,3 -- 1,Fulham
09-04-2021,Fulham,0 -- 1,Wolves
18-04-2021,Arsenal,1 -- 1,Fulham
01-05-2021,Chelsea,2 -- 0,Fulham
10-05-2021,Fulham,0 -- 2,Burnley
15-05-2021,Southampton,3 -- 1,Fulham
18-05-2021,Man United,1 -- 1,Fulham
23-05-2021,Fulham,0 -- 2,Newcastle
12-09-2020,Liverpool,4 -- 3,Leeds
19-09-2020,Leeds,4 -- 3,Fulham
27-09-2020,Sheffield United,0 -- 1,Leeds
03-10-2020,Leeds,1 -- 1,Man City
19-10-2020,Leeds,0 -- 1,Wolves
23-10-2020,Aston Villa,0 -- 3,Leeds
02-11-2020,Leeds,1 -- 4,Leicester
07-11-2020,Crystal Palace,4 -- 1,Leeds
22-11-2020,Leeds,0 -- 0,Arsenal
28-11-2020,Everton,0 -- 1,Leeds
05-12-2020,Chelsea,3 -- 1,Leeds
11-12-2020,Leeds,1 -- 2,West Ham
16-12-2020,Leeds,5 -- 2,Newcastle
20-12-2020,Man United,6 -- 2,Leeds
27-12-2020,Leeds,1 -- 0,Burnley
29-12-2020,West Brom,0 -- 5,Leeds
02-01-2021,Tottenham,3 -- 0,Leeds
16-01-2021,Leeds,0 -- 1,Brighton
26-01-2021,Newcastle,1 -- 2,Leeds
31-01-2021,Leicester,1 -- 3,Leeds
03-02-2021,Leeds,1 -- 2,Everton
08-02-2021,Leeds,2 -- 0,Crystal Palace
14-02-2021,Arsenal,4 -- 2,Leeds
19-02-2021,Wolves,1 -- 0,Leeds
23-02-2021,Leeds,3 -- 0,Southampton
27-02-2021,Leeds,0 -- 1,Aston Villa
08-03-2021,West Ham,2 -- 0,Leeds
13-03-2021,Leeds,0 -- 0,Chelsea
19-03-2021,Fulham,1 -- 2,Leeds
03-04-2021,Leeds,2 -- 1,Sheffield United
10-04-2021,Man City,1 -- 2,Leeds
19-04-2021,Leeds,1 -- 1,Liverpool
25-04-2021,Leeds,0 -- 0,Man United
01-05-2021,Brighton,2 -- 0,Leeds
08-05-2021,Leeds,3 -- 1,Tottenham
15-05-2021,Burnley,0 -- 4,Leeds
18-05-2021,Southampton,0 -- 2,Leeds
23-05-2021,Leeds,3 -- 1,West Brom
13-09-2020,West Brom,0 -- 3,Leicester
20-09-2020,Leicester,4 -- 2,Burnley
27-09-2020,Man City,2 -- 5,Leicester
04-10-2020,Leicester,0 -- 3,West Ham
18-10-2020,Leicester,0 -- 1,Aston Villa
25-10-2020,Arsenal,0 -- 1,Leicester
02-11-2020,Leeds,1 -- 4,Leicester
08-11-2020,Leicester,1 -- 0,Wolves
22-11-2020,Liverpool,3 -- 0,Leicester
30-11-2020,Leicester,1 -- 2,Fulham
06-12-2020,Sheffield United,1 -- 2,Leicester
13-12-2020,Leicester,3 -- 0,Brighton
16-12-2020,Leicester,0 -- 2,Everton
20-12-2020,Tottenham,0 -- 2,Leicester
26-12-2020,Leicester,2 -- 2,Man United
28-12-2020,Crystal Palace,1 -- 1,Leicester
03-01-2021,Newcastle,1 -- 2,Leicester
16-01-2021,Leicester,2 -- 0,Southampton
19-01-2021,Leicester,2 -- 0,Chelsea
27-01-2021,Everton,1 -- 1,Leicester
31-01-2021,Leicester,1 -- 3,Leeds
03-02-2021,Fulham,0 -- 2,Leicester
07-02-2021,Wolves,0 -- 0,Leicester
13-02-2021,Leicester,3 -- 1,Liverpool
21-02-2021,Aston Villa,1 -- 2,Leicester
28-02-2021,Leicester,1 -- 3,Arsenal
